All device pins and their pinmux options
Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,GPIO15,,GPIO15,EPWM8_B,,PMBUSA_CTL,GPIO15,I2CA_SDA,LINA_RX,OUTPUTXBAR4,GPIO15,SENT1,ESC_GPO7,,GPIO15,ESC_GPI20,ADCA_EXTMUXSEL3,OUTPUTXBAR16
2,GPIO16,,GPIO16,EPWM9_A,EMIF1_D29,EMIF1_BA0,GPIO16,SPIA_PICO,,MCAND_TX,GPIO16,,ESC_RX1_CLK,SD1_D1,GPIO16,FSIRXD_D1,FSIRXC_CLK,OUTPUTXBAR7
3,VDDIO,VDDIO
4,GPIO17,,GPIO17,EPWM9_B,EMIF1_DQM3,EMIF1_BA1,GPIO17,SPIA_POCI,,MCAND_RX,GPIO17,,ESC_RX1_DV,SD1_C1,GPIO17,FSIRXD_CLK,UARTC_TX,OUTPUTXBAR8
5,GPIO19,GPIO19,GPIO19,EPWM10_B,EMIF1_CS3n,ADCSOCBO,GPIO19,SPIA_PTE,UARTE_RX,MCANC_TX,GPIO19,PMBUSA_ALERT,ESC_TX1_DATA3,SD1_C2,GPIO19,,,
6,VDD,VDD
7,GPIO34,,GPIO34,EPWM18_A,EMIF1_CS2n,EMIF1_BA1,GPIO34,SPIA_CLK,UARTF_TX,I2CB_SDA,GPIO34,OUTPUTXBAR11,ESC_LATCH0,,GPIO34,EPWM3_B,ESC_SYNC0,OUTPUTXBAR1
8,VDD,VDD
9,VDDIO,VDDIO
10,GPIO18,,GPIO18,EPWM15_A,,PMBUSA_ALERT,GPIO18,I2CA_SCL,UARTC_RX,,GPIO18,SENT4,,,GPIO18,ESC_GPI21,ADCB_EXTMUXSEL0,
11,GPIO22,,GPIO22,EPWM12_A,,PMBUSA_SDA,GPIO22,I2CB_SDA,UARTB_TX,MCANC_TX,GPIO22,SENT5,ESC_GPO2,,GPIO22,ESC_GPI22,ADCB_EXTMUXSEL1,
12,B11/ GPIO235,,GPIO235,EPWM9_B,,,GPIO235,SPIB_CLK,MCANA_RX,,GPIO235,,SENT1,SD1_C1,GPIO235,,,ESC_GPO14
13,B10/ GPIO234,,GPIO234,EPWM17_A,EPWM12_A,,GPIO234,SPIB_PTE,MCANA_TX,,GPIO234,,SENT2,SD1_D4,GPIO234,,,ESC_GPO13
14,B9/ GPIO233,,GPIO233,EPWM18_B,EPWM13_B,,GPIO233,,LINB_RX,,GPIO233,OUTPUTXBAR2,SENT5,SD2_C1,GPIO233,ESC_PHY1_LINKSTATUS,ADCB_EXTMUXSEL3,ESC_GPO12
15,B8/ GPIO232,,GPIO232,EPWM14_A,EPWM8_B,,GPIO232,SPIA_POCI,,,GPIO232,OUTPUTXBAR3,SENT6,SD3_D1,GPIO232,ESC_PHY0_LINKSTATUS,ADCB_EXTMUXSEL2,ESC_GPO11
16,A8/ GPIO226,,GPIO226,EPWM10_A,,,GPIO226,SPIA_PTE,MCAND_TX,UARTF_RX,GPIO226,OUTPUTXBAR1,SD1_C3,SD1_D3,GPIO226,,ADCA_EXTMUXSEL2,ESC_GPO10
17,A7/E25/ GPIO225,,GPIO225,EPWM11_B,,,GPIO225,SPIB_PICO,I2CB_SDA,UARTF_TX,GPIO225,OUTPUTXBAR4,,SD4_C1,GPIO225,,ADCA_EXTMUXSEL1,ESC_GPO9
18,A6/E24/ GPIO224,,GPIO224,EPWM12_A,EPWM12_B,,GPIO224,SPIB_POCI,MCAND_RX,,GPIO224,OUTPUTXBAR5,,SD4_D2,GPIO224,,ADCA_EXTMUXSEL0,ESC_GPO8
19,VDDA,VDDA
20,VSSA,VSSA
21,B5/D31,,AIO175,,,,,,,,,,,SD2_D4,,,,
22,B4/D30,,AIO174,,,,,,,,,,,SD2_C4,,,,
23,A5/D29,,AIO165,,,,,,,,,,,SD2_D3,,,,
24,A4/D28,,AIO164,,,,,,,,,,,SD2_C3,,,,
25,B3/D27,,AIO173,,,,,,,,,,,SD1_D1,,,,
26,B2/D26,,AIO172,,,,,,,,,,,SD1_C1,,,,
27,A3/D25,,AIO163,,,,,,,,,,,SD2_D2,,,,
28,A2/D24,,AIO162,,,,,,,,,,,SD2_C2,,,,
29,VREFLOAB,VREFLOAB
30,VREFHIAB,VREFHIAB
31,A15/B15/C15/D15/E15,,AIO169,,,,,,,,,,,SD3_D3,,,,
32,A14/B14/C14/D14/E14,,AIO168,,,,,,,,,,,SD3_C3,,,,
33,B1/C27,,AIO171,,,,,,,,,,,SD3_D4,,,,
34,B0/C26/VDAC,,AIO170,,,,,,,,,,,SD3_C4,,,,
35,A1/C25,,AIO161,,,,,,,,,,,SD3_D2,,,,
36,A0/C24/DACA_OUT,,AIO160,,,,,,,,,,,SD3_C2,,,,
37,C0/E28,,AIO180,,,,,,,,,,,SD1_C2,,,,
38,C1/E29,,AIO181,,,,,,,,,,,SD1_D2,,,,
39,D0/B24,,AIO192,,,,,,,,,,,SD1_C3,,,,
40,D1/B25,,AIO193,,,,,,,,,,,SD1_D3,,,,
41,E0/A24/DACB_OUT,,AIO202,,,,,,,,,,,SD2_C1,,,,
42,E1/A25,,AIO203,,,,,,,,,,,SD2_D1,,,,
43,C2/E30,,AIO182,,,,,,,,,,,SD3_C1,,,,
44,C3/E31,,AIO183,,,,,,,,,,,SD3_D1,,,,
45,VREFLOCDE,VREFLOCDE
46,VREFHICDE,VREFHICDE
47,C4,,AIO184,,,,,,,,,,,SD3_C2,,,,
48,C5,,AIO185,,,,,,,,,,,SD3_D2,,,,
49,D2/B26,,AIO194,,,,,,,,,,,SD1_C4,,,,
50,D3/B27,,AIO195,,,,,,,,,,,SD1_D4,,,,
51,E2/A26,,AIO204,,,,,,,,,,,SD3_C3,,,,
52,E3/A27,,AIO205,,,,,,,,,,,SD3_D3,,,,
53,VSSA,VSSA
54,VDDA,VDDA
55,D5/B29/ GPIO241,,GPIO241,EPWM8_A,,,GPIO241,SPID_CLK,,,GPIO241,,,SD4_D4,GPIO241,ESC_LED_ERR,ADCD_EXTMUXSEL1,ESC_GPO17
56,E4/A28/ GPIO246,,GPIO246,EPWM16_A,,,GPIO246,SPID_PTE,MCANC_RX,,GPIO246,OUTPUTXBAR7,,SD1_D1,GPIO246,,ADCE_EXTMUXSEL0,ESC_GPO20
57,E5/A29/ GPIO247,,GPIO247,EPWM15_A,ERRORSTS,,GPIO247,SPID_POCI,MCANC_RX,LINA_TX,GPIO247,OUTPUTXBAR5,,SD2_D3,GPIO247,,ADCE_EXTMUXSEL1,ESC_GPO21
58,C8/ GPIO238,,GPIO238,EPWM15_B,,,GPIO238,,,,GPIO238,OUTPUTXBAR6,SD1_D3,SD2_C3,GPIO238,ESC_SYNC0,ADCC_EXTMUXSEL2,ESC_GPO15
59,C9/ GPIO239,,GPIO239,EPWM16_B,,,GPIO239,,LINB_TX,I2CA_SCL,GPIO239,OUTPUTXBAR8,,SD2_C4,GPIO239,ESC_SYNC1,ADCC_EXTMUXSEL3,ESC_GPO16
60,D6/B30/ GPIO242,,GPIO242,,,,GPIO242,,SD1_D4,I2CA_SDA,GPIO242,OUTPUTXBAR9,SENT1,SD2_D2,GPIO242,ESC_LED_STATE_RUN,ADCD_EXTMUXSEL2,ESC_GPO18
61,D7/B31/ GPIO243,,GPIO243,EPWM8_B,,,GPIO243,,,,GPIO243,,SENT2,SD2_D4,GPIO243,ESC_LED_LINK0_ACTIVE,ADCD_EXTMUXSEL3,ESC_GPO19
62,E6/A30/ GPIO248,,GPIO248,,EMIF1_SDCKE,,GPIO248,SPIC_PICO,,,GPIO248,,SENT3,SD1_C2,GPIO248,ESC_LED_RUN,ADCE_EXTMUXSEL2,ESC_GPO22
63,E7/A31/ GPIO249,,GPIO249,,,,GPIO249,SPIC_CLK,,,GPIO249,,SENT4,SD1_D2,GPIO249,ESC_PHY0_LINKSTATUS,ADCE_EXTMUXSEL3,ESC_GPO23
64,GPIO222/TDI,,GPIO222,TDI,EPWM7_A,,GPIO222,SPID_PICO,UARTB_TX,I2CB_SCL,GPIO222,OUTPUTXBAR4,SPIC_CLK,SD3_D4,GPIO222,ESC_GPI11,,ESC_GPO30
65,GPIO223/TDO,,GPIO223,TDO,EPWM7_B,,GPIO223,SPID_CLK,UARTB_RX,I2CB_SDA,GPIO223,OUTPUTXBAR5,SPIC_PTE,SD3_C4,GPIO223,ESC_GPI12,,ESC_GPO31
66,VDDIO,VDDIO
67,VDD,VDD
68,VDDIO,VDDIO
69,TMS,TMS
70,TCK,TCK
71,VDD,VDD
72,VDDIO,VDDIO
73,GPIO41,,GPIO41,EPWM13_B,EMIF1_A3,EPWM18_A,GPIO41,MCANB_TX,SPIE_POCI,I2CB_SCL,GPIO41,OUTPUTXBAR10,ESC_RX0_DATA2,SD4_D3,GPIO41,FSIRXD_CLK,EPWM1_B,SD2_D1
74,GPIO219/ERRORSTS,,GPIO219,ERRORSTS,EMIF1_A19,EPWM18_B,GPIO219,,,,GPIO219,OUTPUTXBAR1,XCLKOUT,SD2_C1,GPIO219,ESC_GPI8,ESC_TX0_ENA,ESC_GPO27
75,GPIO49,,GPIO49,,EMIF1_A9,EMIF1_A5,GPIO49,UARTD_RX,,,GPIO49,OUTPUTXBAR4,ESC_TX1_DATA2,SD1_C1,GPIO49,FSITXA_D0,,SD2_D1
76,GPIO50,,GPIO50,EPWM15_A,EMIF1_A10,EMIF1_A6,GPIO50,,SPIC_PICO,MCANF_TX,GPIO50,,ESC_TX1_DATA1,SD1_D2,GPIO50,FSITXA_D1,ESC_GPI25,SD2_D2
77,GPIO51,,GPIO51,EPWM15_B,EMIF1_A11,EMIF1_A7,GPIO51,,SPIC_POCI,MCANF_RX,GPIO51,,ESC_TX1_CLK,SD1_C2,GPIO51,FSITXA_CLK,ESC_GPI26,SD2_D3
78,GPIO52,,GPIO52,EPWM16_A,EMIF1_A12,EMIF1_A8,GPIO52,UARTD_TX,SPIC_CLK,,GPIO52,,ESC_TX1_ENA,SD1_D3,GPIO52,FSIRXA_D0,,SD2_D4
79,GPIO53,,GPIO53,EPWM16_B,EMIF1_D31,EMIF1_A9,GPIO53,UARTD_RX,SPIC_PTE,,GPIO53,,ESC_PHY0_LINKSTATUS,SD1_C3,GPIO53,FSIRXA_D1,ESC_GPI28,SD1_C1
80,GPIO54,,GPIO54,,EMIF1_D30,EMIF1_A10,GPIO54,SPIA_PICO,,,GPIO54,,ESC_PHY_CLK,SD1_D4,GPIO54,FSIRXA_CLK,ESC_GPI29,SD1_C2
81,VDDIO,VDDIO
82,GPIO56,,GPIO56,EPWM17_A,EMIF1_D28,EMIF1_D1,GPIO56,SPIA_CLK,MCAND_TX,I2CA_SDA,GPIO56,,ESC_PDI_UC_IRQ,SD2_D1,GPIO56,FSITXB_CLK,ESC_GPI30,SD1_C4
83,VDDIO,VDDIO
84,GPIO57,,GPIO57,EPWM17_B,EMIF1_D27,EMIF1_D2,GPIO57,SPIA_PTE,MCAND_RX,I2CA_SCL,GPIO57,,ESC_MDIO_DATA,SD2_C1,GPIO57,FSITXB_D1,ESC_GPI31,SD3_D3
85,GPIO58,,GPIO58,EPWM13_A,EMIF1_D26,EPWM8_A,GPIO58,SPIA_PICO,,MCANC_RX,GPIO58,SENT1,ESC_LED_LINK0_ACTIVE,SD2_D2,GPIO58,FSIRXB_D0,ESC_TX0_DATA3,SD2_C2
86,GPIO59,,GPIO59,EPWM5_A,EMIF1_D25,EPWM8_B,GPIO59,SPIA_POCI,,MCANC_TX,GPIO59,SENT2,ESC_LED_LINK1_ACTIVE,SD2_C2,GPIO59,FSIRXB_D1,ESC_TX0_ENA,SD2_C3
87,VDD,VDD
